# Force coefficients
# liftDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# dragDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.000000e-01
# Aref        : 7.853980e-03
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	1.698248e-05	1.960047e-02	1.722983e-06	1.784397e-05	-1.612099e-05
1             	3.035457e-03	6.096315e+00	-4.016947e-02	-1.704928e-02	-2.312019e-02
2             	3.166979e-03	4.694302e+00	-1.412155e-02	-3.893796e-03	-1.022775e-02
3             	2.305679e-03	1.325969e+00	6.094195e-03	5.352776e-03	7.414188e-04
4             	1.100880e-03	-1.339461e+00	1.568776e-02	8.944761e-03	6.743001e-03
5             	-2.556676e-04	-2.083489e+00	1.242923e-02	5.958947e-03	6.470283e-03
6             	-8.694124e-04	-1.498696e+00	-2.056972e-03	-1.897899e-03	-1.590738e-04
7             	-4.941082e-04	-1.937717e-01	-1.514624e-02	-8.067229e-03	-7.079012e-03
8             	2.140728e-04	1.035789e+00	-3.009887e-02	-1.483536e-02	-1.526351e-02
9             	7.991831e-04	1.460329e+00	-1.421803e-02	-6.309832e-03	-7.908199e-03
10            	1.198787e-03	1.403374e+00	9.805522e-03	6.101548e-03	3.703974e-03
11            	1.018337e-03	8.636452e-01	4.032114e-02	2.117891e-02	1.914223e-02
12            	5.658871e-04	3.556817e-01	5.159492e-02	2.636335e-02	2.523157e-02
13            	5.000173e-05	7.401479e-02	4.541421e-02	2.275711e-02	2.265711e-02
14            	-2.471277e-04	7.600610e-02	3.193646e-02	1.572110e-02	1.621536e-02
15            	-2.553286e-04	2.729835e-01	2.248626e-02	1.098780e-02	1.149846e-02
16            	-1.005155e-04	5.272925e-01	2.498335e-02	1.239116e-02	1.259219e-02
17            	4.463821e-05	7.146593e-01	4.081360e-02	2.045144e-02	2.036216e-02
18            	1.055871e-04	7.897948e-01	6.306272e-02	3.163695e-02	3.142577e-02
19            	7.482095e-05	7.722560e-01	8.567991e-02	4.291478e-02	4.276514e-02
20            	-9.603643e-06	7.003128e-01	1.008073e-01	5.039405e-02	5.041326e-02
21            	-9.529607e-05	6.145727e-01	1.085075e-01	5.415846e-02	5.434905e-02
22            	-1.743663e-04	5.437461e-01	1.098120e-01	5.473163e-02	5.508036e-02
23            	-2.134949e-04	4.959040e-01	1.103157e-01	5.494437e-02	5.537136e-02
24            	-2.045618e-04	4.703520e-01	1.152937e-01	5.744227e-02	5.785139e-02
25            	-1.557600e-04	4.699078e-01	1.253759e-01	6.253220e-02	6.284372e-02
26            	-8.995055e-05	4.962877e-01	1.399353e-01	6.987772e-02	7.005763e-02
27            	-4.467475e-05	5.380614e-01	1.565008e-01	7.820574e-02	7.829509e-02
28            	-2.727099e-05	5.674092e-01	1.714769e-01	8.571117e-02	8.576571e-02
29            	-3.383405e-05	5.691308e-01	1.836734e-01	9.180286e-02	9.187053e-02
30            	-5.681795e-05	5.470515e-01	1.926721e-01	9.627925e-02	9.639289e-02
31            	-8.791293e-05	5.100375e-01	1.981309e-01	9.897752e-02	9.915335e-02
32            	-1.106001e-04	4.716662e-01	1.973218e-01	9.855030e-02	9.877150e-02
33            	-1.147150e-04	4.499806e-01	1.921271e-01	9.594884e-02	9.617827e-02
34            	-9.310517e-05	4.499682e-01	1.877031e-01	9.375844e-02	9.394465e-02
35            	-7.479122e-05	4.638701e-01	1.865143e-01	9.318236e-02	9.333194e-02
36            	-6.092413e-05	4.842244e-01	1.885490e-01	9.421360e-02	9.433545e-02
37            	-6.187095e-05	5.040498e-01	1.913232e-01	9.559972e-02	9.572346e-02
38            	-7.113160e-05	5.192382e-01	1.923265e-01	9.609214e-02	9.623440e-02
39            	-7.105520e-05	5.272762e-01	1.895810e-01	9.471942e-02	9.486153e-02
40            	-5.413181e-05	5.290053e-01	1.836645e-01	9.177812e-02	9.188639e-02
41            	-3.228081e-05	5.268515e-01	1.751693e-01	8.755238e-02	8.761694e-02
42            	-7.789002e-06	5.242199e-01	1.630892e-01	8.153683e-02	8.155241e-02
43            	2.008324e-05	5.234383e-01	1.480444e-01	7.404230e-02	7.400214e-02
44            	4.674105e-05	5.236621e-01	1.309534e-01	6.552344e-02	6.542996e-02
45            	6.561920e-05	5.238752e-01	1.124539e-01	5.629259e-02	5.616135e-02
46            	7.625982e-05	5.256725e-01	9.140303e-02	4.577778e-02	4.562526e-02
