iteration,Cd,Cl,Cd_pressure,Cd_friction
1,8.05556625e+00,1.98949184e-02,8.04726499e+00,8.30125750e-03
2,4.06296224e+00,-1.15052492e-02,4.05313509e+00,9.82715294e-03
3,2.25836157e+00,-1.72173639e-03,2.24703263e+00,1.13289396e-02
4,1.25704936e+00,-5.91159321e-03,1.24357685e+00,1.34725082e-02
5,7.57407844e-01,-6.46955696e-03,7.41305876e-01,1.61019684e-02
6,5.16084609e-01,-1.00525000e-02,4.97716104e-01,1.83685048e-02
7,4.18702686e-01,-1.04324205e-02,3.98491853e-01,2.02108330e-02
8,3.70356572e-01,-8.85076759e-03,3.48837677e-01,2.15188954e-02
9,3.65494202e-01,-1.23951917e-02,3.43103612e-01,2.23905904e-02
10,3.52358974e-01,-1.40820954e-02,3.29543957e-01,2.28150169e-02
11,3.63060470e-01,-1.85730888e-02,3.40200242e-01,2.28602283e-02
12,3.58411364e-01,-2.18434285e-02,3.35786929e-01,2.26244352e-02
13,3.67391836e-01,-2.56261670e-02,3.45184781e-01,2.22070554e-02
14,3.63619559e-01,-2.83428459e-02,3.41945757e-01,2.16738019e-02
15,3.69614331e-01,-3.09137946e-02,3.48553927e-01,2.10604033e-02
16,3.65548540e-01,-3.30193204e-02,3.45133839e-01,2.04147002e-02
17,3.67541524e-01,-3.60084482e-02,3.47774982e-01,1.97665422e-02
18,3.67692681e-01,-3.70074955e-02,3.48690892e-01,1.90017898e-02
19,3.67672502e-01,-3.98576295e-02,3.49429963e-01,1.82425390e-02
20,3.65775877e-01,-4.30353082e-02,3.48098114e-01,1.76777632e-02
21,3.67250601e-01,-4.67782618e-02,3.50204349e-01,1.70462524e-02
22,3.70089554e-01,-4.98892932e-02,3.53833231e-01,1.62563231e-02
23,3.72278075e-01,-5.35734416e-02,3.56813739e-01,1.54643367e-02
24,3.77577159e-01,-5.72107567e-02,3.62672049e-01,1.49051102e-02
25,3.84305006e-01,-6.26351699e-02,3.69889384e-01,1.44156222e-02
26,3.93496515e-01,-6.62322685e-02,3.79533543e-01,1.39629720e-02
27,4.05740510e-01,-7.31297261e-02,3.92179053e-01,1.35614574e-02
28,4.14720887e-01,-7.65813832e-02,4.01740852e-01,1.29800352e-02
29,4.20252609e-01,-8.38775962e-02,4.07621937e-01,1.26306715e-02
30,4.35641841e-01,-8.96269926e-02,4.23249832e-01,1.23920088e-02
31,4.45116419e-01,-9.62331656e-02,4.32936323e-01,1.21800961e-02
32,4.51254773e-01,-1.02054691e-01,4.39297829e-01,1.19569444e-02
33,4.64098423e-01,-1.10044154e-01,4.52532477e-01,1.15659452e-02
34,4.67044042e-01,-1.17390968e-01,4.55653740e-01,1.13903019e-02
35,4.77008597e-01,-1.25585619e-01,4.65682569e-01,1.13260279e-02
36,4.82198083e-01,-1.33221270e-01,4.70955353e-01,1.12427298e-02
37,4.88788124e-01,-1.40391429e-01,4.77640657e-01,1.11474669e-02
38,4.92284145e-01,-1.47771237e-01,4.81239226e-01,1.10449192e-02
39,4.98060210e-01,-1.54845021e-01,4.87107588e-01,1.09526223e-02
40,4.99537261e-01,-1.62834364e-01,4.88619030e-01,1.09182313e-02
41,5.04441500e-01,-1.69546134e-01,4.93540057e-01,1.09014431e-02
42,5.06916997e-01,-1.81301424e-01,4.96024628e-01,1.08923687e-02
43,5.03128545e-01,-1.85380980e-01,4.92215839e-01,1.09127059e-02
44,5.03041146e-01,-1.96260140e-01,4.92133987e-01,1.09071591e-02
